DENT_CODE,COMMODITY_DESC,LANG,DISCIPLINE,OBJECT,UNIT_SET,UNIT,PART_CODE,FLIA_SLFIA,FABRICANTE,CATALOGO,USER_I,COUNTRY,TAMDESC1,TAMDESC2,TAMDESC3,INPUT_1,INPUT_2,INPUT_3,UNIT1,UNIT2,UNIT3
CXC0A09KA001000000,"CONDULETA TIPO ""C"", ALUMINIO LIBRE DE COBRE -NATURAL, MARK 9, UBICACIÓN EN AREA NO PELIGROSA, ROSCA HEMBRA",Spanish,ELECTRICAL,E_C001_PC,PC,PC,XC0,4620,CROUSE-HINDS,C39,,VE,Diametro_FR,I_SIZE1,I_SIZE2,1,0,0,IN,-,-
CXC0A09KA002000000,"CONDULETA TIPO ""C"", ALUMINIO LIBRE DE COBRE -NATURAL, MARK 9, UBICACIÓN EN AREA NO PELIGROSA, ROSCA HEMBRA",Spanish,ELECTRICAL,E_C001_PC,PC,PC,XC0,4620,CROUSE-HINDS,C69,,VE,Diametro_FR,I_SIZE1,I_SIZE2,2,0,0,IN,-,-
CXC0A09KA003000000,"CONDULETA TIPO ""C"", ALUMINIO LIBRE DE COBRE -NATURAL, MARK 9, UBICACIÓN EN AREA NO PELIGROSA, ROSCA HEMBRA",Spanish,ELECTRICAL,E_C001_PC,PC,PC,XC0,4620,CROUSE-HINDS,C889,,VE,Diametro_FR,I_SIZE1,I_SIZE2,3,0,0,IN,-,-
CXC0A09KA004000000,"CONDULETA TIPO ""C"", ALUMINIO LIBRE DE COBRE -NATURAL, MARK 9, UBICACIÓN EN AREA NO PELIGROSA, ROSCA HEMBRA",Spanish,ELECTRICAL,E_C001_PC,PC,PC,XC0,4620,CROUSE-HINDS,C1089,,VE,Diametro_FR,I_SIZE1,I_SIZE2,4,0,0,IN,-,-
CXC0A09KA00F000000,"CONDULETA TIPO ""C"", ALUMINIO LIBRE DE COBRE -NATURAL, MARK 9, UBICACIÓN EN AREA NO PELIGROSA, ROSCA HEMBRA",Spanish,ELECTRICAL,E_C001_PC,PC,PC,XC0,4620,CROUSE-HINDS,C29,,VE,Diametro_FR,I_SIZE1,I_SIZE2,0.75,0,0,IN,-,-
CXC0A09KA01D000000,"CONDULETA TIPO ""C"", ALUMINIO LIBRE DE COBRE -NATURAL, MARK 9, UBICACIÓN EN AREA NO PELIGROSA, ROSCA HEMBRA",Spanish,ELECTRICAL,E_C001_PC,PC,PC,XC0,4620,CROUSE-HINDS,C59,,VE,Diametro_FR,I_SIZE1,I_SIZE2,1.5,0,0,IN,-,-
CXC0A09KA02D000000,"CONDULETA TIPO ""C"", ALUMINIO LIBRE DE COBRE -NATURAL, MARK 9, UBICACIÓN EN AREA NO PELIGROSA, ROSCA HEMBRA",Spanish,ELECTRICAL,E_C001_PC,PC,PC,XC0,4620,,,,VE,Diametro_FR,I_SIZE1,I_SIZE2,2.5,0,0,IN,-,-
CXC0F67KA001000000,"CONDULETA TIPO ""C"", FERALOY/ELECTROGALV.,CON PINTURA ACRILICA DE ALUMINIO, FORMA 7, AREA NO PELIGROSA, ROSCA HEMBRA",Spanish,ELECTRICAL,E_C001_PC,PC,PC,XC0,4620,CROUSE-HINDS,C37,,VE,Diametro_FR,I_SIZE1,I_SIZE2,1,0,0,IN,-,-
CXC0F67KA002000000,"CONDULETA TIPO ""C"", FERALOY/ELECTROGALV.,CON PINTURA ACRILICA DE ALUMINIO, FORMA 7, AREA NO PELIGROSA, ROSCA HEMBRA",Spanish,ELECTRICAL,E_C001_PC,PC,PC,XC0,4620,CROUSE-HINDS,C67,,VE,Diametro_FR,I_SIZE1,I_SIZE2,2,0,0,IN,-,-
CXC0F67KA003000000,"CONDULETA TIPO ""C"", FERALOY/ELECTROGALV.,CON PINTURA ACRILICA DE ALUMINIO, FORMA 7, AREA NO PELIGROSA, ROSCA HEMBRA",Spanish,ELECTRICAL,E_C001_PC,PC,PC,XC0,4620,CROUSE-HINDS,C87,,VE,Diametro_FR,I_SIZE1,I_SIZE2,3,0,0,IN,-,-
CXC0F67KA00D000000,"CONDULETA TIPO ""C"", FERALOY/ELECTROGALV.,CON PINTURA ACRILICA DE ALUMINIO, FORMA 7, AREA NO PELIGROSA, ROSCA HEMBRA",Spanish,ELECTRICAL,E_C001_PC,PC,PC,XC0,4620,CROUSE-HINDS,C17,,VE,Diametro_FR,I_SIZE1,I_SIZE2,0.5,0,0,IN,-,-
CXC0F67KA00F000000,"CONDULETA TIPO ""C"", FERALOY/ELECTROGALV.,CON PINTURA ACRILICA DE ALUMINIO, FORMA 7, AREA NO PELIGROSA, ROSCA HEMBRA",Spanish,ELECTRICAL,E_C001_PC,PC,PC,XC0,4620,CROUSE-HINDS,C27,,VE,Diametro_FR,I_SIZE1,I_SIZE2,0.75,0,0,IN,-,-
CXC0F67KA01D000000,"CONDULETA TIPO ""C"", FERALOY/ELECTROGALV.,CON PINTURA ACRILICA DE ALUMINIO, FORMA 7, AREA NO PELIGROSA, ROSCA HEMBRA",Spanish,ELECTRICAL,E_C001_PC,PC,PC,XC0,4620,CROUSE-HINDS,C57,,VE,Diametro_FR,I_SIZE1,I_SIZE2,1.5,0,0,IN,-,-
CXC0F68KA001000000,"CONDULETA TIPO ""C"", FERALOY/ELECTROGALV.,CON PINTURA ACRILICA DE ALUMINIO, FORMA 8, AREA NO PELIGROSA, ROSCA HEMBRA",Spanish,ELECTRICAL,E_C001_PC,PC,PC,XC0,4620,CROUSE-HINDS,C38,I,VE,Diametro_FR,I_SIZE1,I_SIZE2,1,0,0,IN,-,-
CXC0F68KA002000000,"CONDULETA TIPO ""C"", FERALOY/ELECTROGALV.,CON PINTURA ACRILICA DE ALUMINIO, FORMA 8, AREA NO PELIGROSA, ROSCA HEMBRA",Spanish,ELECTRICAL,E_C001_PC,PC,PC,XC0,4620,CROUSE-HINDS,C68,I,VE,Diametro_FR,I_SIZE1,I_SIZE2,2,0,0,IN,-,-
CXC0F68KA003000000,"CONDULETA TIPO ""C"", FERALOY/ELECTROGALV.,CON PINTURA ACRILICA DE ALUMINIO, FORMA 8, AREA NO PELIGROSA, ROSCA HEMBRA",Spanish,ELECTRICAL,E_C001_PC,PC,PC,XC0,4620,CROUSE-HINDS,C88,,VE,Diametro_FR,I_SIZE1,I_SIZE2,3,0,0,IN,-,-
CXC0F68KA00D000000,"CONDULETA TIPO ""C"", FERALOY/ELECTROGALV.,CON PINTURA ACRILICA DE ALUMINIO, FORMA 8, AREA NO PELIGROSA, ROSCA HEMBRA",Spanish,ELECTRICAL,E_C001_PC,PC,PC,XC0,4620,CROUSE-HINDS,C18,I,VE,Diametro_FR,I_SIZE1,I_SIZE2,0.5,0,0,IN,-,-
CXC0F68KA00F000000,"CONDULETA TIPO ""C"", FERALOY/ELECTROGALV.,CON PINTURA ACRILICA DE ALUMINIO, FORMA 8, AREA NO PELIGROSA, ROSCA HEMBRA",Spanish,ELECTRICAL,E_C001_PC,PC,PC,XC0,4620,CROUSE-HINDS,C28,I,VE,Diametro_FR,I_SIZE1,I_SIZE2,0.75,0,0,IN,-,-
CXC0F68KA01D000000,"CONDULETA TIPO ""C"", FERALOY/ELECTROGALV.,CON PINTURA ACRILICA DE ALUMINIO, FORMA 8, AREA NO PELIGROSA, ROSCA HEMBRA",Spanish,ELECTRICAL,E_C001_PC,PC,PC,XC0,4620,CROUSE-HINDS,C58,I,VE,Diametro_FR,I_SIZE1,I_SIZE2,1.5,0,0,IN,-,-
CXC0F68KA02D000000,"CONDULETA TIPO ""C"", FERALOY/ELECTROGALV.,CON PINTURA ACRILICA DE ALUMINIO, FORMA 8, AREA NO PELIGROSA, ROSCA HEMBRA",Spanish,ELECTRICAL,E_C001_PC,PC,PC,XC0,4620,CROUSE-HINDS,C78,,VE,Diametro_FR,I_SIZE1,I_SIZE2,2.5,0,0,IN,-,-
